name,scientific_name,color,planttype,maintenance,meaning
Yarrow,achillea,cream,Perennials,low,Everlasting love
Yarrow,achillea,orange,Perennials,low,Everlasting love
Yarrow,achillea,pink,Perennials,low,Everlasting love
Yarrow,achillea,purple,Perennials,low,Everlasting love
Yarrow,achillea,red,Perennials,low,Everlasting love
Yarrow,achillea,white,Perennials,low,Everlasting love
Yarrow,achillea,yellow,Perennials,low,Everlasting love
Snapdragon,antirrhinum,green,Annuals,low,Deception; Graciousness
Snapdragon,antirrhinum,orange,Annuals,low,Deception; Graciousness
Snapdragon,antirrhinum,pink,Annuals,low,Deception; Graciousness
Snapdragon,antirrhinum,purple,Annuals,low,Deception; Graciousness
Snapdragon,antirrhinum,red,Annuals,low,Deception; Graciousness
Snapdragon,antirrhinum,white,Annuals,low,Deception; Graciousness
Snapdragon,antirrhinum,yellow,Annuals,low,Deception; Graciousness
European columbine,aquilegia,blue,Perennials,low,Foolishness; Folly
European columbine,aquilegia,pink,Perennials,low,Foolishness; Folly
European columbine,aquilegia,purple,Perennials,low,Foolishness; Folly
European columbine,aquilegia,red,Perennials,low,Foolishness; Folly
European columbine,aquilegia,white,Perennials,low,Foolishness; Folly
European columbine,aquilegia,yellow,Perennials,low,Foolishness; Folly
sea aster,aster,blue,Perennials,medium,Symbol of love; Daintiness
sea aster,aster,purple,Perennials,medium,Symbol of love; Daintiness
sea aster,aster,red,Perennials,medium,Symbol of love; Daintiness
sea aster,aster,white,Perennials,medium,Symbol of love; Daintiness
sea aster,aster,yellow,Perennials,medium,Symbol of love; Daintiness
Bellflower,campanula,blue,Perennials,low,Humility
Bellflower,campanula,lilac,Perennials,low,Humility
Bellflower,campanula,pink,Perennials,low,Humility
Bellflower,campanula,purple,Perennials,low,Humility
Bellflower,campanula,white,Perennials,low,Humility
florist's chrysanthemum,chrysanthemum,red,Perennials,medium,I love you
florist's chrysanthemum,chrysanthemum,white,Perennials,medium,Truth
florist's chrysanthemum,chrysanthemum,yellow,Perennials,medium,Slighted love
camellia,,Pink,perennial,,deep longing; yearning; missing someone; admiration
carnation,,Red,perennial,,love; fascination; distinction; admiration; maternal love
convallaria,convallaria,pink,Perennials,low,Sweetness; Tears of the Virgin Mary; Humility
convallaria,convallaria,white,Perennials,low,Sweetness; Tears of the Virgin Mary; Humility
coreopsis,coreopsis,lavender,"Annuals, Perennials",low,Always cheerful
coreopsis,coreopsis,maroon,"Annuals, Perennials",low,Always cheerful
coreopsis,coreopsis,orange,"Annuals, Perennials",low,Always cheerful
coreopsis,coreopsis,pink,"Annuals, Perennials",low,Always cheerful
coreopsis,coreopsis,red,"Annuals, Perennials",low,Always cheerful
coreopsis,coreopsis,yellow,"Annuals, Perennials",low,Always cheerful
Larkspur,delphinium,blue,Perennials,medium,Open heart; Levity; Lightness; Fickleness
Larkspur,delphinium,pink,Perennials,medium,Open heart; Levity; Lightness; Fickleness
Larkspur,delphinium,red,Perennials,medium,Open heart; Levity; Lightness; Fickleness
Larkspur,delphinium,violet,Perennials,medium,Open heart; Levity; Lightness; Fickleness
Larkspur,delphinium,white,Perennials,medium,Open heart; Levity; Lightness; Fickleness
Larkspur,delphinium,yellow,Perennials,medium,Open heart; Levity; Lightness; Fickleness
Pinks,dianthus,pink,"Annuals",low,Fascination; Female love; Mother’s love; Affection
Pinks,dianthus,purple,"Annuals",low,Fascination; Female love; Mother’s love; Affection
Pinks,dianthus,red,"Annuals",low,Fascination; Female love; Mother’s love; Affection
Pinks,dianthus,white,"Annualss",low,Fascination; Female love; Mother’s love; Affection
Gladiolus,gladiolus,green,"Bulbs, Perennials",low,Flower of the Gladiators; Integrity; Strength; Victory
Gladiolus,gladiolus,lavender,"Bulbs, Perennials",low,Flower of the Gladiators; Integrity; Strength; Victory
Gladiolus,gladiolus,pink,"Bulbs, Perennials",low,Flower of the Gladiators; Integrity; Strength; Victory
Gladiolus,gladiolus,purple,"Bulbs, Perennials",low,Flower of the Gladiators; Integrity; Strength; Victory
Gladiolus,gladiolus,red,"Bulbs, Perennials",low,Flower of the Gladiators; Integrity; Strength; Victory
Gladiolus,gladiolus,white,"Bulbs, Perennials",low,Flower of the Gladiators; Integrity; Strength; Victory
Gladiolus,gladiolus,yellow,"Bulbs, Perennials",low,Flower of the Gladiators; Integrity; Strength; Victory
Baby’s Breath,gypsophila,pink,"Annuals, Perennials",low,Everlasting Love
Baby’s Breath,gypsophila,white,"Annuals, Perennials",low,Everlasting Love
Rosemallow,hibiscus,blue,"Annuals, Perennials, Shrubs, Trees",low,Delicate beauty
Rosemallow,hibiscus,orange,"Annuals, Perennials, Shrubs, Trees",low,Delicate beauty
Rosemallow,hibiscus,pink,"Annuals, Perennials, Shrubs, Trees",low,Delicate beauty
Rosemallow,hibiscus,purple,"Annuals, Perennials, Shrubs, Trees",low,Delicate beauty
Rosemallow,hibiscus,red,"Annuals, Perennials, Shrubs, Trees",low,Delicate beauty
Rosemallow,hibiscus,white,"Annuals, Perennials, Shrubs, Trees",low,Delicate beauty
Rosemallow,hibiscus,yellow,"Annuals, Perennials, Shrubs, Trees",low,Delicate beauty
Hyacinth,hyacinthus,blue,Bulbs,low,Sport; Game; Play
Hyacinth,hyacinthus,orange,Bulbs,low,Sport; Game; Play
Hyacinth,hyacinthus,pink,Bulbs,low,Sport; Game; Play
Hyacinth,hyacinthus,purple,Bulbs,low,Sport; Game; Play
Hyacinth,hyacinthus,red,Bulbs,low,Sport; Game; Play
Hyacinth,hyacinthus,white,Bulbs,low,Sport; Game; Play
