common_name,scientific_name,color
Yarrow,achillea,white
Yarrow,achillea,orange
Yarrow,achillea,yellow
Yarrow,achillea,purple
Yarrow,achillea,pink
Yarrow,achillea,red
Yarrow,achillea,cream
wolf's bane,aconitum,blue
wolf's bane,aconitum,white
wolf's bane,aconitum,yellow
wolf's bane,aconitum,purple
wolf's bane,aconitum,pink
,agapanthus,blue
,agapanthus,purple
,agapanthus,white
,ageratum,blue
,ageratum,white
,ageratum,red
,ageratum,purple
,ageratum,pink
bugle,ajuga,blue
bugle,ajuga,purple
bugle,ajuga,white
hollyhock,alcea,black
hollyhock,alcea,white
hollyhock,alcea,red
hollyhock,alcea,yellow
hollyhock,alcea,purple
hollyhock,alcea,pink
wild onion,allium,blue
wild onion,allium,white
wild onion,allium,yellow
wild onion,allium,purple
wild onion,allium,pink
Lily of the Incas,alstroemeria,rose
Lily of the Incas,alstroemeria,white
Lily of the Incas,alstroemeria,orange
Lily of the Incas,alstroemeria,red
Lily of the Incas,alstroemeria,purple
Lily of the Incas,alstroemeria,pink
Lily of the Incas,alstroemeria,yellow
Belladonna,amaryllis,white
Belladonna,amaryllis,pink
eastern bluestar,amsonia,purple
eastern bluestar,amsonia,white
eastern bluestar,amsonia,pink
eastern bluestar,amsonia,blue
Tailflower,anthurium,green
Tailflower,anthurium,white
Tailflower,anthurium,red
Tailflower,anthurium,yellow
Tailflower,anthurium,purple
Tailflower,anthurium,pink
Snapdragon,antirrhinum,green
Snapdragon,antirrhinum,white
Snapdragon,antirrhinum,orange
Snapdragon,antirrhinum,yellow
Snapdragon,antirrhinum,red
Snapdragon,antirrhinum,pink
Snapdragon,antirrhinum,purple
European columbine,aquilegia,blue
European columbine,aquilegia,white
European columbine,aquilegia,red
European columbine,aquilegia,yellow
European columbine,aquilegia,purple
European columbine,aquilegia,pink
butterflyweed,asclepias,white
butterflyweed,asclepias,orange
butterflyweed,asclepias,red
butterflyweed,asclepias,yellow
butterflyweed,asclepias,purple
butterflyweed,asclepias,pink
sea aster,aster,white
sea aster,aster,blue
sea aster,aster,red
sea aster,aster,yellow
sea aster,aster,purple
,astilbe,red
,astilbe,white
,astilbe,pink
masterwort,astrantia,red
masterwort,astrantia,white
masterwort,astrantia,purple
masterwort,astrantia,pink
,banksia,green
,banksia,violet
,banksia,red
,banksia,orange
,banksia,yellow
,banksia,brown
,baptisia,yellow
,baptisia,blue
,baptisia,white
,begonia,white
,begonia,orange
,begonia,yellow
,begonia,red
,begonia,pink
,bellis,white
,bellis,red
,bellis,yellow
,bellis,purple
,bellis,pink
,bergenia,red
,bergenia,white
,bergenia,purple
,bergenia,pink
,borago,blue
,borago,pink
,bougainvillea,white
,bougainvillea,orange
,bougainvillea,red
,bougainvillea,yellow
,bougainvillea,purple
,bougainvillea,pink
,bouvardia,white
,bouvardia,red
,bouvardia,yellow
,bouvardia,orange
,bouvardia,pink
,brugmansia,white
,brugmansia,red
,brugmansia,yellow
,brugmansia,orange
,brugmansia,pink
,buddleia,blue
,buddleia,white
,buddleia,red
,buddleia,purple
,buddleia,pink
Marigold,calendula,orange
Marigold,calendula,yellow
Scotch Heather,calluna,red
Scotch Heather,calluna,white
Scotch Heather,calluna,purple
Scotch Heather,calluna,pink
,camellia,white
,camellia,red
,camellia,yellow
,camellia,purple
,camellia,pink
Bellflower,campanula,white
Bellflower,campanula,blue
Bellflower,campanula,lilac
Bellflower,campanula,purple
Bellflower,campanula,pink
,canna,white
,canna,orange
,canna,red
,canna,yellow
,canna,pink
,canna,cream
,celosia,white
,celosia,orange
,celosia,red
,celosia,gold
,celosia,purple
,celosia,pink
,celosia,yellow
star-thistle,centaurea,blue
star-thistle,centaurea,white
star-thistle,centaurea,yellow
star-thistle,centaurea,purple
star-thistle,centaurea,pink
florist's chrysanthemum,chrysanthemum,red
florist's chrysanthemum,chrysanthemum,yellow
florist's chrysanthemum,chrysanthemum,purple
florist's chrysanthemum,chrysanthemum,white
,cistus,white
,cistus,purple
,cistus,pink
fairyfan,clarkia,white
fairyfan,clarkia,orange
fairyfan,clarkia,red
fairyfan,clarkia,purple
fairyfan,clarkia,pink
,claytonia,red
,claytonia,white
,claytonia,purple
,claytonia,pink
,clerodendrum,white
,clerodendrum,orange
,clerodendrum,red
,clerodendrum,yellow
,clerodendrum,purple
,clerodendrum,pink
,clerodendrum,cream
convallaria,convallaria,white
convallaria,convallaria,pink
coreopsis,coreopsis,orange
coreopsis,coreopsis,red
coreopsis,coreopsis,yellow
coreopsis,coreopsis,pink
coreopsis,coreopsis,maroon
coreopsis,coreopsis,lavender
cosmos,cosmos,white
cosmos,cosmos,scarlet
cosmos,cosmos,orange
cosmos,cosmos,yellow
cosmos,cosmos,pink
montbretia,crocosmia,orange
montbretia,crocosmia,red
montbretia,crocosmia,yellow
,crocus,white
,crocus,blue
,crocus,yellow
,crocus,purple
,crocus,cream
,cyclamen,rose
,cyclamen,white
,cyclamen,red
,cyclamen,purple
,cyclamen,pink
Boat Orchid,cymbidium,green
Boat Orchid,cymbidium,white
Boat Orchid,cymbidium,orange
Boat Orchid,cymbidium,yellow
Boat Orchid,cymbidium,red
Boat Orchid,cymbidium,pink
Boat Orchid,cymbidium,brown
,dahlia,blue
,datura,yellow
,datura,white
,datura,purple
,datura,pink
delosperma,delosperma,white
delosperma,delosperma,orange
delosperma,delosperma,red
delosperma,delosperma,yellow
delosperma,delosperma,purple
delosperma,delosperma,pink
Larkspur,delphinium,violet
Larkspur,delphinium,blue
Larkspur,delphinium,white
Larkspur,delphinium,red
Larkspur,delphinium,yellow
Larkspur,delphinium,pink
,deutzia,red
,deutzia,white
,deutzia,pink
Pinks,dianthus,red
Pinks,dianthus,white
Pinks,dianthus,purple
