scientific_name,name
Abelmoschus,Okra
Abies,Fir
Acacia,Wattle
Acer,Maple
Achillea,Yarrow
Acidosasa,
Aconitum, wolf's bane
Actinidia,kiwi
Actinocladum,
Actinostrobus,
Actinotus ,flannel-flower
Adiantum,maidenhair fern
Aechmea,
Aegilops,Goat Grass
Aegilops,Goatgrass
Aegle,Bael Fruit
Aegle,Indian bael
Aegle,milva
Aegle,vilvam
Aegle,Bael
Aegle,Belfruit Tree
Aegle,Golden Apple
Aerva,Pillow-weed
Aerva,kapokbush
Aerva,
Aesculus,Horse Chestnut
Aesculus,Buckeye
Agapanthus,African-lily
Agapanthus,blue agapanthus
Agapanthus,blue-lily
Agapanthus,lily-of-the-Nile
Agapanthus,
Agapanthus,
Agapanthus,
Agastache,
Agave,
Ageratum,ageratum
Ageratum,blue billygoat-weed
Ageratum,bluemink
Ageratum,flossflower
Ageratum,Mexican ageratum
Ageratum,
Aglaomorpha,
Aglaomorpha,
Aglaonema,
Agnesia,
Agonis,
Agonis,
Ajuga,bugle
Albizia,Mimosa
Alchemilla,lady's-mantle
Alchemilla,
Allium,Hooker's onion
Allium,tapertip onion
Allium,
Allium,Great Headed Garlic
Allium,
Allium,Bulb onion
Allium,common onion
Allium,onion
Allium,Basal
Allium,Cipolla
Allium,Lök
Allium,Ogba
Allium,Yangba
Allium,giant onion
Allium,lily leek
Allium,moly
Allium,yellow garlic
Allium,yellow onion
Allium,daffodil garlic
Allium,false garlic
Allium,flowering onion
Allium,Naples garlic
Allium,Naples onion
Allium,Neapolitan garlic
Allium,ophio garlic
Allium,rocambole
Allium,serpent garlic
Allium,Spanish garlic
Allium,Garlic
Allium,Ail
Allium,Ajo
Allium,Alho
Allium,Knoblauch
Allium,Maneul
Allium,Ninniku
Allium,Sarymsyk
Allium,fyrverkerilök
Allium,
Allium,
Allium,ball-head onion
Allium,round-head garlic
Allium,round-head leek
Allium,skägglök
Allium,crow garlic
Allium,false garlic
Allium,field garlic
Allium,stage garlic
Allium,wild garlic
Allium,wild onion
Almutaster,
Alnus,Alder
Alocasia,Ape
Alocasia,Giant alocasia
Alocasia,Giant Taro
Alocasia,Calalu
Alocasia,Elephant's Ear
Alocasia,Taro
Aloe,guinea-fowl aloe
Aloe,lace aloe
Aloe,long-awned aloe
Aloe,torch plant
Aloe,
Aloe,Common aloe
Aloe,true aloe
Aloe,Acibar
Aloe,Babosa
Aloe,Barbados Aloe
Aloe,Curaçao Aloe
Aloe,West Indian Aloe
Aloe,Echte Aloe
Alpinia,red-ginger
Alpinia,ginger-lily
Alpinia,alpinia
Alpinia,pink porcelain-lily
Alpinia,light galangal
Alpinia,shellflower
Alpinia,shell-ginger
Alstroemeria,Yellow alstroemeria
Alstroemeria,Peruvian-lily
Alstroemeria,Lily of the Incas
Alvimia,
Amaranthus,
Amaranthus,purple amaranth
Amaranthus,Guernsey pigweed
Amaranthus,livid amaranth
Amaranthus,slender amaranth
Amaranthus,foxtail
Amaranthus,foxtail amaranth
Amaranthus,Inca-wheat
Amaranthus,purple amaranth
Amaranthus,red-hot-cattail
Amaranthus,love-lies-bleeding
Amaranthus,velvet-flower
Amaranthus,tassel-flower
Amaranthus,
Amaranthus,red amaranth
Amaranthus,African-spinach
Amaranthus,blood amaranth
Amaranthus,bush greens
Amaranthus,caterpillar amaranth
Amaranthus,Indian-spinach
Amaranthus,panicled amaranth
Amaranthus,purple amaranth
Amaranthus,red shank
Amaranthus,Sudan-spinach
Amaranthus,Wild Amaranth
Amaranthus,lao ya guamarante
Amaranthus,amarante etalee
Amaranthus,bledo
Amaranthus,achita
Amaranthus,bredo
Amaranthus,Green pigweed
Amaranthus,Smooth amaranth
Amaranthus,Smooth pigweed
Amaranthus,Slim amaranth
Amaranthus,Prince-of-Wales-feather
Amaranthus,
Amaranthus,American pigweed
Amaranthus,common amaranth
Amaranthus,pigweed redroot
Amaranthus,carelessweed
Amaranthus,Amaranmthili Nut
Amaranthus,Garden Calalu
Amaranthus,Pigweed
Amaranthus,Amaranth
Amaranthus,Prickly Calalu
Amaranthus,Spiny amaranth
Amaranthus,pigweed
Amaranthus,Joseph's Coat
Amaranthus,Amaranto
Amaranthus,Chinese spinach
Amaranthus,xian math
Amaranthus,aupa
Amaranthus,slender amaranth
Amaryllis,Belladonna-lily
Amaryllis,Easter-lily
Amaryllis,Jersey-lily
Amaryllis,Belladonna
Ammi ,Bishop's Weed
Ammi ,bullwort
Ammi ,False bishop's weed
Ammi ,greater ammi
Ammi ,laceflower
Ammi ,lady's lace
Ammi ,khillah
Ammi ,
Ammi ,bisnaga
Ammi ,khella
Ammi ,lesser bishop's-weed
Ammi ,toothpick ammi
Ammi ,toothpick plant
Ammobium,winged everlasting
Ammobium,
Ampelocalamus,
Amsonia,bluestar
Amsonia,slimpod
Amsonia,Texas-star
Amsonia,Texas-Amsonie
Amsonia,amsonia
Amsonia,willow slimpod
Amsonia,eastern bluestar
Anacardium,
Anamirta ,fishberry
Anamirta ,Levantnut
Anamirta ,poison-berry
Anamirta ,tuba biji
Anamirta ,kockel-lian
Anamirta ,
Ananas,
Ananas,Pineapple
Ananas,
Anastatica,
Anemone,
Anemone,
Anemone,
Anemone,
Anemone,European thimblewood
Anemone,wood anemone
Anemone,European wood anemone
Anemone,
Anemone,yellow anemone
Anemone,Windflower
Anethum,Dill
Anethum,Garden Dill
Anethum,Fenouil
Anethum,Andro
Anethum,Enedlo
Anethum,Aneth
Anethum,Aneth Odorant
Anethum,Aneto
Anethum,Anis-Aleman
Anethum,Sowa 
Anethum,Dill
Angelonia  ,angelon
Anigozanthos,
Anigozanthos,
Anisacanthus,desert honeysuckle 
Anisacanthus,Thurber's desert honeysuckle
Anthericum  ,
Anthurium,flamingo-flower
Anthurium,flamingo- lily
Anthurium,oilcloth-flower
Anthurium,
Anthurium,benefice
Anthurium,mibi
Anthurium,seguine
Anthurium,ciguine
Anthurium,Tailflower
Antirrhinum,garden snapdragon
Antirrhinum,Snapdragon
Apoclada,
Aquilegia,columbine 
Aquilegia,European columbine
Arachniodes,
Arachnis,
Aralia,California-ginseng
Aralia,California-spikenard
Aralia,elk-clover
Aralia,western-spikenard	
Aralia,Manchurian-spikenard
Aralia,Chinese Angelica-tree
Aralia,Japanese angelica tree
Aralia,
Aralia,Spikenard
Araucaria,Bunya Bunya
Araucaria,Monkey Puzzle Tree
Araucaria,Moreton Bay Pine
Araucaria,New Caledonia Pine
Araucaria,Norflok Island Pine
Araucaria,Parana Pine
Arberella,
Arbutus ,Madrone
Arbutus ,Pacific Madrone 
Arbutus ,madrones
Areca,Betel nut
Areca,
