name,scientific_name
Abelia,Abelia
Ajuga,Ajuga
Alder,Alnus
Althea,Hibiscus
Alumroot,Heuchera
American Elder,Sambucus
American Hophornbeam,Ostrya
Anise Tree,Illicium
Apple,Malus
Apricot,Prunus
Arborvitae,Thuja
Archangel,Lamiastrum
Arizona Cypress,Cupressus
Arrowhead,Sagittaria
Ash,Fraxinus
Aster,Aster
Astilbe,Astilbe
Aucuba,Aucuba
Autumn Olive,Elaeagnus
Azalea,Rhododendron
Bald Cypress,Taxodium
Balloon Flower,Platycodon
Bamboo,Bamboo
Baneberry,Actaea
Barberry,Berberis
Basil,Ocimum
Basswood,Tilia
Bay Laurel,Laurus
Bayberry,Myrica
Beautyberry,Callicarpa
Beautybush,Kolkwitzia
Bee Balm,Monarda
Beech,Fagus
Birch,Betula
Bittersweet,Celastrus
Black Gum,Nyssa
Blackberry,Rubus
Black-Eyed Susan,Rudbeckia
Bleeding Heart,Dicentra
Bloodroot,Sanguinaria
Bluebeard,Caryopteris
Bluebells,Mertensia
Blueberry,Vaccinium
Bluestar,Amsonia
Boston Ivy,Parthenocissus
Bottle Gentian,Gentiana
Bougainvillea,Bougainvillea
Boxwood,Buxus
Buckeye,Aesculus
Buckthorn,Rhamnus
Bugleweed,Ajuga
Burning Bush,Euonymus
Buttercup Winterhaze,Corylopsis
Butterfly Bush,Buddleia
Butterfly Weed,Asclepias
Butternut,Juglans
Buttonbush,Cephalanthus
Canadian Hemlock,Tsuga
Candytuft,Iberis
Canna,Canna
Cardinal Flower,Lobelia
Carpathian Harebell,Campanula
Catalpa,Catalpa
Cedar,Cedrus
Chameleon Plant,Houttuynia
Chastetree,Vitex
Cherry,Prunus
Cherry Laurel,Prunus
Cherry Plum,Prunus
Chestnut,Castanea
Chokeberry,Aronia
Chokecherry,Prunus
Christmas Fern,Polystichum
Cinquefoil,Potentilla
Clematis,Clematis
Clethra,Clethra
Cleyera,Cleyera
Columbine,Aquilegia
Coneflower,Echinacea
Coralberry,Symphoricarpos
Coreopsis,Coreopsis
Cotoneaster,Cotoneaster
Crabapple,Malus
Cranberry,Vaccinium
Crape Myrtle,Lagerstroemia
Creeping Jenny,Lysimachia
Cryptomeria,Cryptomeria
Cypress,Chamaecyparis
Dawn Redwood,Metasequoia
Daylily,Hemerocallis
Deutzia,Deutzia
Dianthus,Dianthus
Dogwood,Cornus
Dutchman's Breeches,Dicentra
Dutchman's Pipe,Aristolochia
Elaeagnus,Elaeagnus
Elm,Ulmus
English Ivy,Hedera
Euonymus,Euonymus
False Indigo Bush,Amorpha
False Solomon's Seal,Smilacina
Fern,Osmunda
Fescue,Festuca
Fiesta Daisy,Gaillardia
Filbert,Corylus
Firethorn,Pyracantha
Firewitch,Dianthus
Flowering Almond,Prunus
Flowering Cherry,Prunus
Flowering Quince,Chaenomeles
Foamflower,Tiarella
Forsythia,Forsythia
Fothergilla,Fothergilla
Fountain Grass,Pennisetum
Fringetree,Chionanthus
Gayfeather,Liatris
Geranium,Geranium
Germander,Teucrium
Giant Variegated Reed,Arundo
Gilbralter Bush Cover,Lespedeza
Ginger,Asarum
Ginkgo,Ginkgo
Goat's Beard,Aruncus
Golden Bell,Forsythia
Golden Raintree,Koelreuteria
Graceful Cattail,Typha
Grapes,Vitis
Green Tara,Colacasia
Hackberry,Celtis
Hally Jolivette Cherry,Prunus
Hawthorn,Crataegus
Hayscented Fern,Dennstaedtia
Hemlock,Tsuga
Hens & Chicks,Sempervivum
Hibiscus,Hibiscus
Hickory,Carya
Higan Cherry,Prunus
Holly,Ilex
Hollyhocks,Alcea
Honeylocust,Gleditsia
Honeysuckle,Lonicera
Hornbeam,Carpinus
Horsetail Reed,Equisetum
Hosta,Hosta
Hybrid Sage,Salvia
Hydrangea,Hydrangea
Indiancurrant Coralberry,Symphoricarpos
Iris,Iris
Ironwood,Ostrya
Itea,Itea
Jack-in-the-Pulpit,Arisaema
Jacob's Ladder,Polemonium
Japanese Blood Grass,Imperata
Japanese Cedar,Cryptomeria
Japanese Plum,Prunus
Japanese Plum Yew,Cephalotaxus
Japanese Snowbell,Styrax
Japanese Stewartia,Stewartia
Japanese Sweet Flag,Acorus
Jasminum,Jasminum
Juniper,Juniperus
Katsura Tree,Cercidiphyllum
Kentucky Coffee Tree,Gymnocladus
Kerria,Kerria
Lady Fern,Athyrium
Lady's Mantle,Alchemilla
Larkspur,Delphinium
Lavender,Lavandula
Leather Wood Fern,Dryopteris
Lemon Verbena,Aloysia
Leucothoe,Leucothoe
Leyland Cypress,Cupressocyparis
Ligustrum,Ligustrum
Lilac,Syringa
Lily-of-the-Valley,Convallaria
Lilyturf,Liriope
Linden,Tilia
Liriope,Liriope
Liverleaf,Hepatica
Locust,Gleditsia
Locust,Robinia
Loropetalum,Loropetalum
Magnolia,Magnolia
Mahonia,Mahonia
Maidenhair Tree,Ginkgo
Maple,Acer
May Apple,Podophyllum
Mimosa,Albizia
Mockorange,Philadelphus
Mondo Grass,Ophiopogon
Monkeygrass,Liriope
Mountain Ash,Sorbus
Mountain Laurel,Kalmia
Mountain Stewartia,Stewartia
Mulberry,Morus
Mums,Chrysanthemum
Nandina,Nandina
Nectarine,Prunus
